latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,cleaning_reason
-2.577,121.3762,311.1,3.4,1.7,2020-01-04,257,Terra,MODIS,46,6.03,280.8,49.5,D,2,iqr_outlier_or_duplicate
2.7768,125.4107,317.1,1.2,1.1,2020-01-05,200,Terra,MODIS,44,6.03,281.1,16.5,D,1,iqr_outlier_or_duplicate
-2.5846,121.3762,317.1,3.3,1.7,2020-01-05,457,Aqua,MODIS,67,6.03,289.4,63.4,D,2,iqr_outlier_or_duplicate
-2.5815,121.3828,315.6,3.3,1.7,2020-01-05,457,Aqua,MODIS,60,6.03,289.3,55.9,D,2,iqr_outlier_or_duplicate
1.4633,101.7814,310.6,4.2,1.9,2020-01-06,422,Terra,MODIS,36,6.03,292.8,48.0,D,0,iqr_outlier_or_duplicate
1.4595,101.7756,310.7,4.2,1.9,2020-01-06,422,Terra,MODIS,42,6.03,292.8,49.8,D,0,iqr_outlier_or_duplicate
1.2806,102.0135,310.8,4.4,1.9,2020-01-06,422,Terra,MODIS,59,6.03,294.4,45.3,D,0,iqr_outlier_or_duplicate
-2.5847,121.3811,341.9,1.0,1.0,2020-01-08,528,Aqua,MODIS,91,6.03,299.2,39.7,D,2,iqr_outlier_or_duplicate
-2.5756,121.3798,363.9,1.0,1.0,2020-01-08,528,Aqua,MODIS,100,6.03,301.1,91.5,D,2,iqr_outlier_or_duplicate
4.0134,97.4235,351.6,1.1,1.0,2020-01-08,708,Aqua,MODIS,96,6.03,296.5,67.2,D,0,iqr_outlier_or_duplicate
1.7209,101.2172,313.5,3.7,1.8,2020-01-09,613,Aqua,MODIS,58,6.03,286.6,45.8,D,0,iqr_outlier_or_duplicate
1.7447,101.3058,306.8,1.1,1.0,2020-01-09,1537,Terra,MODIS,49,6.03,280.6,8.5,N,0,iqr_outlier_or_duplicate
-1.3743,121.3155,341.9,1.4,1.2,2020-01-10,516,Aqua,MODIS,92,6.03,291.8,68.5,D,0,iqr_outlier_or_duplicate
2.7788,125.404,332.1,1.9,1.3,2020-01-10,1737,Aqua,MODIS,100,6.03,287.2,83.3,N,1,iqr_outlier_or_duplicate
-0.4282,102.5493,307.0,1.0,1.0,2020-01-12,643,Aqua,MODIS,25,6.03,278.5,4.9,D,0,iqr_outlier_or_duplicate
1.9803,101.5581,305.4,1.2,1.1,2020-01-14,333,Terra,MODIS,57,6.03,280.1,5.5,D,0,iqr_outlier_or_duplicate
1.4541,101.7806,302.6,1.5,1.2,2020-01-14,631,Aqua,MODIS,0,6.03,270.7,7.9,D,0,iqr_outlier_or_duplicate
2.7765,125.4022,354.4,1.2,1.1,2020-01-14,1417,Terra,MODIS,100,6.03,295.9,95.4,N,1,iqr_outlier_or_duplicate
2.7787,125.4012,358.8,1.0,1.0,2020-01-14,1712,Aqua,MODIS,100,6.03,296.0,84.1,N,1,iqr_outlier_or_duplicate
2.7776,125.404,330.0,2.5,1.5,2020-01-15,237,Terra,MODIS,72,6.03,292.8,98.8,D,1,iqr_outlier_or_duplicate
-2.574,121.3801,308.4,1.0,1.0,2020-01-15,534,Aqua,MODIS,61,6.03,271.9,6.9,D,2,iqr_outlier_or_duplicate
-3.2276,121.6393,312.0,1.0,1.0,2020-01-15,534,Aqua,MODIS,48,6.03,278.9,8.6,D,0,iqr_outlier_or_duplicate
-2.583,121.3815,328.6,1.0,1.0,2020-01-15,534,Aqua,MODIS,85,6.03,273.8,26.1,D,2,iqr_outlier_or_duplicate
-2.5763,121.3878,302.4,2.6,1.5,2020-01-15,1757,Aqua,MODIS,40,6.03,271.6,27.3,N,2,iqr_outlier_or_duplicate
-2.5738,121.3875,325.7,1.8,1.3,2020-01-17,1447,Terra,MODIS,100,6.03,290.2,55.4,N,2,iqr_outlier_or_duplicate
-2.5679,121.3876,342.1,1.5,1.2,2020-01-17,1744,Aqua,MODIS,100,6.03,291.3,83.4,N,2,iqr_outlier_or_duplicate
-2.5712,121.3814,333.5,1.5,1.2,2020-01-17,1744,Aqua,MODIS,100,6.03,291.3,58.9,N,2,iqr_outlier_or_duplicate
1.9759,101.5449,316.4,3.6,1.8,2020-01-18,309,Terra,MODIS,65,6.03,293.2,51.3,D,0,iqr_outlier_or_duplicate
-4.0216,136.1181,304.6,1.1,1.0,2020-01-18,426,Aqua,MODIS,47,6.03,275.7,6.6,D,0,iqr_outlier_or_duplicate
1.9676,101.535,316.5,4.6,2.0,2020-01-18,607,Aqua,MODIS,66,6.03,290.8,88.8,D,0,iqr_outlier_or_duplicate
1.9678,101.5388,316.1,4.6,2.0,2020-01-18,607,Aqua,MODIS,65,6.03,290.8,85.6,D,0,iqr_outlier_or_duplicate
-8.8275,117.9995,312.2,4.3,1.9,2020-01-19,508,Aqua,MODIS,25,6.03,293.3,57.3,D,0,iqr_outlier_or_duplicate
-8.6725,118.2412,315.3,4.1,1.9,2020-01-19,508,Aqua,MODIS,18,6.03,294.9,68.2,D,0,iqr_outlier_or_duplicate
-8.448,118.006,318.8,4.3,1.9,2020-01-19,508,Aqua,MODIS,0,6.03,292.7,76.6,D,0,iqr_outlier_or_duplicate
